[06/04/2020 15:15:41 - INFO - __main__ - 323] reading data/run1.B1phi1.i1.seqwish.w100.json...
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2173
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1833
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1864
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1428
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 680
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 677
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1237
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1236
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1235
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1217
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 216
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 217
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1374
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1373
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1832
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1370
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 213
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1881
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1140
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 679
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1216
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 397
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 690
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 214
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1447
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1446
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1445
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1444
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1443
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1111
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 212
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2108
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1865
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1681
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1440
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1429
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1119
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 684
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 683
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 681
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 676
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2183
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1442
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1441
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1438
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1430
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 61
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 62
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 47
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1054
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 21
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 20
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 19
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 49
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1460
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1461
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1459
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1439
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1437
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1055
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1053
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 48
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1453
